Ansperto,Palmarini,PAAANS02O29N275G,Fiumicello,Via Xxiv aprile 58
Filidoro,Melchiorre,MELFIR84J10V502Y,Maniago,Viale Giuseppe ellero 16
Ennio,Muccio,MUCENO11K10E747L,Remanzacco,Via Cividale 11
Nunziante,Biffero,BIINUN29Z30M008S,Maniago,Via Michelangelo buonarroti 3
Rinetto,Iandoli,IANRIT36V05J655W,Buja,Via Tomba 15
Reldo,Vergallo,VELREL93H10V222R,Gonars,Via Alturis 16
Gianmauro,Patianna,PAIGIO75U23E626N,Cervignano del friuli,Via Trieste 69
Anteo,Augieri,AUUANT14U18G463N,Remanzacco,Strada Di san martino 6
Ermelino,Lazzari,LAIERE50T35J831V,Gradisca d'isonzo,Via Gorizia 17
Anastasio,Mannino,MANANS18M27F730F,Martignacco,Via Udine 127
Fernandino,Gao,GAAFED09J00B205C,Pinzano al tagliamento,Via Roma - valeriano 99
Arnoldo,Malzac,MACARL52H29B320H,Cordenons,Via Maestra 67
Leuterio,Hajderaj,HADLEU07B28H209Z,San daniele del friuli,Via Umberto i 2
Roliano,Marelli,MAIROL48R11V199N,Porcia,Via Dogana 10
Giugno,Farooq,FAOGIN84U17T170V,Pordenone,Via Penne nere 4
Giunio,Guerrieri,GUUGII11B04G427H,Campoformido,Via Basaldella 28
Rosalio,Nicolae,NIAROO95E13E536A,San giorgio di nogaro,Via Gobetti 2
Artenio,Dione,DIEARR08X18Z344K,Tarcento,Via Del pino 6
Rossano,Catamo,CAAROS59I14N310J,Lignano sabbiadoro,Calle Schiller 30
Odes,Intelligente,INNODD54P20V195H,Roveredo in piano,Via G. verdi 13
Rotildo,Battista,BAIROI30W38I368S,San daniele del friuli,Piazza Girolamo sini 5
Cirio,Cerasuolo,CEOCII66H11R460H,Cervignano del friuli,Via Dei castelli 9
Elvio,Pagliuchi,PAIELV43N21G699T,Castelnovo del friuli,Localita  Paludea 72
Canio,Zagaria,ZAICAA21J09L582A,Artegna,Via Vicenza 11
Bacchisio,Zamperlini,ZANBAH09M26K963E,Pontebba,Frazione Pietratagliata 62
Ranuccio,Miho,MIHRAN33V23R339X,Azzano decimo,Via Fautario 1
Bizio,Giudice,GIEBII66T29O215H,Azzano decimo,Via Azzano 3
Giovanmaria,Lemkadem,LEDGIV49X17N927M,Ragogna,Via Europa unita 26
Reonaldo,Lagonigro,LAORED33H24B875O,Pordenone,Via G. b. damiani 11
