Amerino,Alessio,A.s.l. n1 triestina dipartimento salute mentale,ente pubblico,ALIAMI03B00W404U,Trieste ,Via Aldo Barbaro  
Aldegardo,Verma,A.s.s. n.4 medio friuli,ente pubblico,VEMALA77J29R971G,Codroipo ,Viale Duodo Francesco  
Cosmano,Maiorano,A.s.s. n.4 medio friuli,ente pubblico,MAACOO51G16M966G,Codroipo ,Viale Duodo Francesco  
Ionio,Del grosso,A.s.s. n.4 medio friuli poliambulatorio,ente pubblico,DEGIOO15U24V867T,Codroipo ,Viale Duodo Francesco  
Ginio,Spezzano,A.s.s.n. 4 medio friuli,ente pubblico,SPPGIO79T25V024K,Udine ,Via di Giusto Riccardo  
Bertillo,Nieddu,Asl - distretto 1 -1 triestina,ente pubblico,NIUBET65P27O013L,Duino,Frazione Aurisina   Aurisina
Olvidio,Contemoro,Asl - distretto 1 -1 triestina,ente pubblico,COOOLV87W27B156L,Trieste ,Via Lionello Stock  
Elfino,Salvarosa,Asl - distretto 1 opicina -1 triestina,ente pubblico,SAVELL73O36M426C,Trieste ,Via di Prosecco   Villa Opicina
Ivanio,Albanese,Asl - distretto 2 -1 triestina,ente pubblico,ALBIVV87Q20H961G,Trieste ,Via Amerigo Vespucci  
Ivio,De maglio,Asl - distretto 2 -1 triestina,ente pubblico,DEEIVV70T22K786U,Trieste ,Via della Pieta  
Argimiro,Di donna,Asl - distretto 2 -1 triestina,ente pubblico,DIOARM06U15N304S,Trieste ,Campo San Giacomo  
Decimo,Fabbrizio,Asl - distretto 2 -1 triestina,ente pubblico,FABDEI31I16I062R,Trieste ,Via del Muraglione  
Mattio,Acampora,Asl - distretto 2 -1 triestina,ente pubblico,ACAMAA37E27L660X,Trieste ,Via San Marco  
Robustino,Cavallo,Asl - distretto 3 -1 triestina,ente pubblico,CAOROO79Y02S147C,Trieste ,Via Giacomo Puccini  
Aligio,Qiu,Asl - distretto 3 -1 triestina,ente pubblico,QIUALL18O21Y050R,Muggia ,Via Cesare Battisti  
Giovamaria,Biasini,Asl - distretto 3 -1 triestina,ente pubblico,BIIGIV69O30B590D,Trieste ,Via di Valmaura  
Adilio,Algieri,Asl - distretto 4 -1 triestina,ente pubblico,ALLADI63F21E330K,Trieste ,Via Giovanni Sai  
Cristian,Popolizio,Asl - distretto alto isontino -2 isontina,ente pubblico,POOCRI09S02Q541J,Cormons ,Viale Venezia Giulia  
Gianmarco,Grossi,Asl - distretto alto isontino -2 isontina,ente pubblico,GRSGIR16F16Y533O,Cormons ,Viale Venezia Giulia  
Risieri,Ogayon,Asl - distretto basso isontino - ass 2 isontina,ente pubblico,OGYRIE71U23F637I,Grado ,Via Michelangelo Buonarroti  
Ireo,Imparato,Asl - distretto basso isontino - ass 2 isontina,ente pubblico,IMRIRO37Y12K841P,Monfalcone ,Via Luigi Galvani  
Mildo,Daggiano,Asl - distretto di carnia,ente pubblico,DAGMID55C27T696Y,Tolmezzo ,Via Carnia Libera   
Iseo,Da silva,Asl - distretto di cividale del friuli,ente pubblico,DAAISE37X02T758A,Cividale del friuli ,Via Carraria  
Nemesio,Decataldo,Asl - distretto di codroipo - ass 3,ente pubblico,DEENEM12K07A550V,Codroipo ,Viale Francesco Duodo  
Falaride,Colica,Asl - distretto di san daniele - ass 4,ente pubblico,COAFAE19T31V419N,San daniele del friuli ,Viale Trento e Trieste  
Fiorinto,De pascali,Asl - distretto di udine - ass 4,ente pubblico,DEPFII19L16R021B,Udine ,Via San Valentino  
Miro,Anastasio,Asl - distretto est -6 friuli occidentale,ente pubblico,ANAMIR11Z13D813Q,San vito al tagliamento ,Piazzale Thomas Linteris  
Orlindo,Dibra,Asl - distretto est di cervignano del friuli - ass 2,ente pubblico,DIRORD37P25R564N,Cervignano del friuli ,Via Trieste  
Esposito,Dell'anna,Asl - distretto est di palmanova - aas 2,ente pubblico,DE ESO01Q38I265J,Palmanova ,Via Molin  
Fiore,Aprile,Asl - distretto gemonese val canale canal del ferro - ass 3,ente pubblico,APEFIE50Y00E575I,Gemona del friuli ,Piazza Rodolone  
Pergentino,Dantes,Asl - distretto nord -6 friuli occidentale,ente pubblico,DAEPEI14M34U215A,Maniago ,Via Unita d Italia  
Isonzo,Montedoro,Asl - distretto ovest di latisana - ass 2,ente pubblico,MOTISO57Q06E501W,Latisana ,Via Sabbionera  
Risoluto,De bernart,Asl - distretto ovest di san giorgio di nogaro - ass 2,ente pubblico,DETRIO18C16A231H,San giorgio di nogaro ,Via Palmanova  
Armerino,De nitto,Asl - distretto sud -6 friuli occidentale,ente pubblico,DEEARR55P37L799D,Azzano decimo ,Via xv Aprile  
Effrem,Russiello,Asl - distretto tarcento - a.s.s. 4 medio friuli,ente pubblico,RUOEFR00E37G078D,Tarcento ,Via Pietro Coianiz  
Epaminonda,Cavazzoni,Asl - distretto urbano -6 friuli occidentale,ente pubblico,CAZEPI10X38M600M,Pordenone ,Via della Comina  
Manlio,Seck,Asl - n. 1 triestina,ente pubblico,SECMAN03L22I435A,Trieste ,Via Giovanni Sai  
Filodelfo,Prinari,Asufc,ente pubblico,PRRFIO23F03E991E,Udine ,Via Pozzuolo   
Menio,Ponzi,Audionova italia,ente pubblico,POOMEO78X07G931V,Gorizia ,Via Gian Battista Garzarolli   A 
Ermenegildo,Del mastro,Audionova italia,ente pubblico,DERERE02V22J001B,Ronchi dei legionari ,Via Roma   F 
Grimoaldo,Tanzi,Audionova italia,ente pubblico,TANGRR12F11I370P,Codroipo ,Viale Venezia   D Presso Friulmedica 
Ippolito,James,Azienda assistenza sanitaria 3 alto friuli collinare medio friuli azienda per l assistenza sanitaria n. 3 alto friuli - collinare - medio friuli,ente pubblico,JAEIPO26Y26I016S,Moggio udinese ,Moggio Udinese   Via G  Ermolli   
Renetto,De lorenzo,Azienda assistenza sanitaria 3 alto friuli collinare medio friuli azienda per l assistenza sanitaria n. 3 alto friuli - collinare - medio friuli,ente pubblico,DEEREE32V06O248N,Moggio udinese ,Moggio Udinese   Via G  Ermolli  
Neri,Truppi,Azienda assistenza sanitaria 3 alto friuli collinare medio friuli azienda per l assistenza sanitaria n. 3 alto friuli - collinare - medio friuli,ente pubblico,TRINER44X04W534Z,Gemona del friuli ,Codroipo  Viale Duodo  
Gianetto,Sauli,Azienda assistenza sanitaria n. 5 friuli occidentale,ente pubblico,SAUGIE99I14Z994D,Pordenone ,Via Grado   
Amoroso,Ceribashi,Azienda assistenza sanitaria n. 5 friuli occidentale,ente pubblico,CEIAMS51K15X873X,Pordenone ,Via Unit   D Italia  
Derio,Chittano,Azienda assistenza sanitaria n. 5 friuli occidentale,ente pubblico,CHODEI88T05T971T,Pordenone ,Pordenone   Via Martiri Concordiesi  
