Fabriele,Amador baez,AMAFAE35Z02W602M,Cividale del friuli,Via San lazzaro 81
Gratiliano,Sapia,SAPGRA91K04M517C,San giovanni al natisone,Via C. percoto 13
Ricangelo,Martucci,MACRIO11Z37N777R,Aviano,Via Ospedale 15
Nabor,Caffiero,CAONAR43F16B063C,Porcia,Via Rustighel 5
Feluccio,Mita,MITFEC76J11Y894G,Cividale del friuli,Via Degli abeti 23
Riodante,Varallo,VAARIO13Q11X158H,Coseano,Via Dei gelsi 122
Agatino,Prudenzano,PRNAGI44P33Z881L,Cervignano del friuli,Via Terza armata 8
Primiero,Giardiniero,GINPRR18H33E462N,Fontanafredda,Via Custoza 44
Battista,Pagliuchi,PACBAA72X17D888X,Pasiano di pordenone,Via Sette casoni 19
Genzino,Conti,COOGEI29V27W107G,Aviano,Via Renzo granzotto 22
Diomede,Giurin,GIRDIE74E01I678Y,Campoformido,Vicolo Del pozzo 31
Gaudenzio,Morano,MORGAO76B31N025N,Lignano sabbiadoro,Viale Della scultura 4
Loreno,Perlangeli,PELLOE32C11Z085A,Polcenigo,Localita  Pille 7
Brunellesco,Donnicola,DONBRU14F03L607E,Medea,Via Zorutti 20
Rosvaldo,Pancosta,PANROD22S31S984P,Tavagnacco,Via Della roggia 68
Piergiorgio,Felicella,FEAPIG26P19S023S,Pasian di prato,Piazza Della chiesa 8
Richelmo,Moro,MOORIH12O27A301Q,Buja,Piazza Del mercato 6
Orsolino,Solero,SOEORR62Z34U168O,Pordenone,Via San giuliano 2
Reiner,Magliola,MAGRER15M26Z657P,Cividale del friuli,Via Leonardo da vinci 66
Frumenzio,Profeta,PROFRE34C24D669E,Latisana,Via Dei delfini 0
Biondo,Benesch,BECBII49V30M199M,Azzano decimo,Via Azzano 40
Annico,Raj,RAAANN84Q18I542M,Gemona del friuli,Via Carlo caneva 87
Rambo,Diko,DIIRAO33Q17L235L,Pordenone,Via C. goldoni 2
Donaldo,Torricelli,TORDOO97I36I847K,Meduno,Via Costa 3
Primiero,Frau,FRRPRM58X31U358U,Aquileia,Via Lucio manlio acidino 1
Roseo,Calcagnile,CACROO28R34W195F,Chions,Via S. giuseppe 54
Festino,Adilardi d'aquino,ADOFEI05W25L755D,Erto e casso,Via A. diaz 33
Arseno,Sakari,SARARE39E12H714M,Duino-aurisina,Frazione Aurisina cave 79
Altero,Litti,LIIALO78B38L521A,Cordenons,Via Montello 23
Nazaro,Howaidy,HOONAA65H11F191P,Romans d'isonzo,Via Atleti azzurri d'italia 34
Foscarino,Bucsa,BUSFOO21T31M370O,Bicinicco,Via Canonica 4
Giovanmaria,Pasanisi,PAIGIM94Q04A631P,Pasiano di pordenone,Via Brozzette_rivarotta 21
